,comment_body
189,Excellent initiative.  Are you planning to sell any at work soon?
190,How cute! What a nice way to spend community service hours helping a baby bird!
191,Maybe you could include how much money you raised.  What was your role?
192,Woohoo!
193,I love this description- the kids submitted many awesome pics for this event for yearbook.  It was an amazing team building activity.
194,Wow! This should be nominated for Principal of the Year.
195,Hooray for mental health!!  ;)
196,I have decided that if I make it to 2022 I will come visit.  Invited or not!!!!!!
197,How did going to camp next to a sublime ocean make you feel?
198,Great example of some soft skills and an experience that would be good interview discussion.  Just take another look at your last sentence.  It has at least one type and doesn\'t read quite right.
199,It would be great to make another entry/reflection on this class now that you are half-way through the course.  Would love to read about what you have learned about yourself and others!
200,Well done writing succinctly but in a meaningful way how you relate to these three different works and what they symbolize for you.
201,You should look in to our Maymester trip to Lyon France. It is a wonderful opportunity to explore both cuisine and culture and you could practice your French language and get some of those skills back (in a hurry I suspect.)
202,"Just a quick comment...we would say \""""learned\"""" not learnt.  Perhaps expand on the \""""field\"""" business knowledge you have gained as well particularly related to \""""soft skills\"""".  A separate entry on this with specific examples of experiences that helped you build these skills would expand a future employer\'s understanding of what you can do."
203,Good job of pulling together three descriptions of artworks and how they relate to your life.  Do proof read your entry again and correct the typos (or spelling/grammar) errors.  I think if you read carefully you will find them.
204,I don\'t know if there is a tag for perseverance but it so I would add it to this entry.
205,This is really cool once again another great opportunity to be involved in!  I suggest throwing in this post a specific situation you had that you overcame during this project.
206,I highly suggest further elaborating on your learning experience of R programming. Yet again another great thing to be involved in.
207,This is fantastic!!! As a fellow gamer I find it really impressive that you go out of your way to do things other women have not really stepped heavily into yet! This also shows a great deal of organization with the size of your group.
208,I would elaborate further on this experience to give the reader a better understanding of the exhibition and what was done pertaining to your skills.
209,These are nice reflections on your favorite paintings. I highly suggest creating another post that specifically reflects on your skill development based on one painting you connect the most with.
210,This was a very good and detailed summary of the movie. However rather than discussing details of the movie you should further reflect on your experiences and how the movie inspired you to develop these skills in the tags.
211,I am glad you enjoyed this experience! I highly suggest further reflecting on the experience by discussing the building of your skills in the skill tags and connecting it back to your summary of your experience.
212,This post was developed very well. I like that it showed your thought process on the exact flavors. Your style and tone of writing also helped to better tell the story to your audience.
213,This was a good summary of your experience. However I highly suggest specifically self-reflecting toward your skills used in the creation of bowls. You can show this by discussing your thought process with the audience.
214,This was a very good summary of the movie. However your post should be more focused on self-reflecting on the skills you used or developed based on the movie.
215,This was a good summary of the event and self-reflection on teamwork as a whole. However I highly suggest further elaborating on your experience personally in relation to your skills in the skill tags.
216,This was a great summary about the movie. However I highly suggest further elaborating on your self-reflection of the skills you either used or developed in result of this movie.
217,This was a very interesting grabber to start with. I highly suggest further self-reflecting on the movie experience to tie back to your development of the skills mentioned in the tags.
218,It is nice that you got to know your teammates better during this team building activity. I would continue this reflection by further explaining the experience tied back to your skills mentioned in the tags.
219,This was a good summary of the movie. However I highly suggest further self-reflection upon your developed or used skills from the tags and tie this back to the movie summary and experience.
220,This was a very good summary of the movie. However I highly suggest connecting this movie back to your experience based upon the ideals of the movie with developing your skills.
221,This was a nice summary of the experience you had at green bowl. However I highly suggest self-reflection further on the creation of the bowl your thought process and how this effected you your team
222,This was a good short summary of the green bowl experience. However I am not sure if you understand how to use these posts to your advantage. You should use this scenario as an opportunity to self-reflect on the skills you developed or used during this experience.
223,This is a good summary of the movie however I suggest using these posts as a tool to further frame your skills and how you can tie them back to a certain scenario in the movie.
224,So what is it about MakeSpace that made it worth it for you that helped you to develop these skills?
225,Good stuff
226,This is good! Your take away is stronger here but still consider expanding on it. Explain to me how your critical thinking in a hypothetical space situation could be applied here on earth!
227,This sounds like it was a good experience. You should further elaborate on this post to show the development and usage of your skills!
228,This was a great experience to write about.  This was a good stepping stone back story post for the more recent posts you have.
229,"Luke you are the living example of \""""alone we can do so little together we can do so much \"""" and that is amazing! Your behind the scenes contribution helped to make THON be the best it could be"
230,So glad to hear you found this engaging and are excited to explore further.  This was a first for my PSU14 sections so I\'m really glad it hit the mark for at least one student!
231,this was a good experience you had. However I highly suggest further explaining the skills you learned during this scenario. It will better help recruiters understand the way you develop and use skills.
232,I highly suggest futher building on this post by elaborating more thoroughly the development and usage of your skills.
233,Hey Wonsuk thanks for sharing! Your summary of the movie is strong but try to connect the events of the movie to yourself. Consider reflecting upon your major if you yourself have ever faced adversity and if so
234,This was a great summary of your experience however i highly suggest further elaborating on your actual use of your creativity skill tag or development of the skill.
235,This is great that you described the movie to the audience However it would be most effective to you if you further explained how you developed or used your community engagement skills.
236,What\'s up Jeffrey! Thanks for sharing your experience this is a great entry. Your takeaway here is really strong but I wold love to hear a little more background as to what you did at Green Bowl. Consider this when creating future Live It entries!
237,"Just one quick correction to make...\""""wedding party\'s\"""" is possessive.  You need to use the plural which would be \""""wedding parties.\""""  Good illustration of thinking on your feet and keeping good customer service in mind!"
238,What\'s up Jonathon! This is a great entry you not only shared your experience but reflected upon it as well. This is a great way to show your value in the classroom and workplace. Keep up the good work!
239,"The entry is good but consider unpacking it a little more. Give more background on the experience in order to explain how you came to conclude it would help to enable teamwork! Remember \""""reflective thinking turns experience into insight.\"""""
240,I would use this continuation to further explain your personal use of the skills.
241,Hey Jason this is a great entry! Not only did you summarize you experience but you reflected upon it and gave a great takeaway nice! If you haven\'t already
242,You\'re killing it Jason this entry is very strong as well. I really enjoy your playful writing style I can practically envision your confidence when creating the bowls. Kudos to you keep up the good work!
243,This looks like an awesome experience Ricky.  I would love to hear this better version of \'Super Bass\'.  I certainly don\'t have the talent to perform but respect the courage it took to get on stage and nail a song.  Congrats.
244,CAD is a super useful skill to have! It is great you voiced this technical skill in addition to your soft skills in this post!
245,This is a really great organization to get involved in. THON is recognized by many people everywhere you go helping people like this shows the heart and caring you have for people which is great in a workplace environment and life in itself.
246,All these experiences of leadership and community involvement are great! Keep up the good work!
247,This was a great summary of the movie. Howevr I highly suggest specifically showing how this movie helped you develop the skills rather than how Mark developed skills.
248,I really think that you should expand on this post based on your skills you put as the tags.
249,I highly suggest in the future tying back the movie contents to your personal skills learned and used based on the events in the movie.
250,I love that you are visits the arboretum with classmates. You showed all the skills that you listed above the entry. Great post
251,Nice I hope you did well in the competition! Consider strengthening this post by adding a takeaway or in other words a sentence to wrap up both your experience and your reflection!
252,What’s up Eclair thanks for sharing your experience! While your post is great you can strengthen it by not just summarizing but reflecting as well! By reflecting you’re giving potential recruiters insight into not just your skills
253,Very well said Vanna!  I can see your core values in action at each of our sessions and in my encounters with you at speaker luncheons.  Keep it up!
254,While this is true i’m not sure you’ve expressed how this pertains to you. Instead of just stating something you believe consider giving an example of a time you practiced this then reflect upon it to give further insight!
255,Cool I loved volunteering in high school too! This demonstrates valuable aspects about you both professionally and personally kudos! Consider getting involved with volunteer initiatives at Penn State if you haven’t already
256,It was such a pleasure meeting you & spending time with the rest of the WLI class!
257,"Kylyn as I read your reflections remind me of one the greatest leaders in sprituality and human justice said \""""the best way to find yourself is to lose yourself in the service of others.\"""" — Mahatma Gandhi."
258,This is exactly what we want in these posts. I learned a lot about your determination perseverance and desire to work with people. Continue to refine these traits and you will be successful in your time at PSU.
259,This campus has a lot of things to offer including an expansive history. Im happy that you were able to enjoy the museums and feed your curiosity. It is important to stay curious while studying at PSU because it will lead to finding out exactly what you want to do with your life.
260,This is great. Always lean on music because it is really good for stress management. Also I like how you tied it back to when you use to play an instrument in high school. It is important to keep music as a stress reliever because throughout your years at PSU you will have to deal with a lot of deadlines and assignments.
261,The arboretum is good for making someone nostalgic. These moments allow you see how far you have come and where you want to go. I suggest you continue going to the arboretum if its one of the only things that sparks this reflection because it is important for your development.
262,this is a great post. Life can fly by in the blink of an eye. Thats why I think you are on a good path by taking the time to go to arboretum and reflecting on life\'s events. This will allow you to see how far you have come and where you want to go.
263,I had John Water in undergrad he is a great teacher so i know you learned some great information. IT is very important to find a balance of studying long enough but not too much that you are unable to perform well on the exam. This advice will serve you well as the number of assignments you will have increase.
264,Privacy is very important thing to consider in this day of social media. Everyone knows everything about everyone which can lead people to paint a different picture of who they are to others. SO i think this talk was a great step in the right direction for the new generation to learn that privacy is a person\'s right that should be honored
265,That horse picture is exactly what college is like. Its an uphill battle but once you get to your destination you will be able to appreciate all of your hard work. I think you should continue visiting places like this that cause you to reflect on your like because it will allow you to see how far you have come.
266,Wow this is a great experience. Its different than most people and shows your desire to learn about medicine at a young age.
267,I love that you went to this event with 2 other classmates. In your classes is where you will develop relationships with people that will turn into your best friends. Also networking with others in the HHD college will serve you well for future class study groups.
268,Art is a beautiful thing that inspires nostalgia and reflection. I think this post is good because you are showing growth. You started off the story by saying you hated museums but now after this experience you have changed your mindset.
269,this post shows several skills that will serve you well in your future.
270,I believe it is great that you are holding on to the values and lessons your grandparents have taught you
271,as your mentor I can say post college is when I started really getting in tune to nutritional health and using vitamins. I also use calorie counting apps as a way to monitor nutrients intakes because it makes it a game to see how perfect I can plan my meals!
272,This sounds like a great exhilarating experience to have. This really shows your dedication to be involved even off-season.
273,This was a great class to be involved in. The vocabulary In this post shows your audience you really know what you\'re talking about with this project.
274,This is REALLY great that you stuck with something for this long so far! It really shows perseverance and dedication to what\'s important to you as far as careers.
275,Congratulations! That is an amazing thing to be proud of. Definitely keep involved in events such as these!
276,This was a very impressive way to describe a fraternity social chair. This post describes your position in the exact terms of professionalism people like to see.
277,That is very impressive you were able to raise the overall GPA. A lot of times GPAS will fluctuate substantially in college however this shows the dedication you had to being at the top and bringing everyone with you along the way. This is a huge factor in proper leadership.
278,This is an impressive internship to have! Keep up the good work and keep involved in experiences such as these that will propel you further into your field and prepare you for your career!
279,This is a really good event to experience to help you learn and grow throughout your time in college. Definitely keep these events in mind and attend them when you can they will really help you for your future and in helping decide what you may be happiest doing.
280,Helena this sounds like an amazing opportunity and experience.  No one knows more about what a work day looks like for a public servant like a \'receptionist\' for community issues.  Great work.
281,This post shows your attachment to perfection and doing things correctly. This is crucial in any work field and is great you showed this in your post!
282,Glad to hear that you gave it a little time in ME so you REALLY knew that it was not the right career path for you!  No looking back....only forward from here on out!
283,Nittany Lion Inn is a great place to start!  Next you will have the skills training and confidence to take a big step into cooking in a larger environment!
284,Being an example of good physical and mental health shows younger women everywhere that we CAN do it all.
285,Nice job filling out your overall profile.  This competition sounds pretty cool - good luck to you and your team!
286,THON is a great organization and I am glad you were able to share the experience with others. The longest I danced in the stands was 21 consecutive hours.
287,You have an insightful outlook. To ensure your health you need to make time for yourself. Below is an article I found helpful when I was building myself.http://www.lifehack.org/articles/featured/how-to-find-time-for-yourself.html
288,Nice!
289,Great!
290,Well done!
291,Making sure a comment can be left.
292,Good job!
293,Hello
294,nice
295,reply
296,tc
297,Great work volunteering Alyssa finding the grand compromise of efficiency and quality will serve you well in every future experience. Great work!
298,Thanks
299,reply 2/1
300,my reply
301,Great reflection!
302,lol
