,comment_body
65,I enjoyed reading your reflection. It seemed like you learned a lot from this trip. Pay attention to few typos though.
66,Excellent reflection! I like how you elaborated your experience as a yearbook staff and that experience will definitely be helpful for your future career.
67,Great experience! Try to elaborate more on your takeaways from this experience. Also pay attention to few typos.
68,Nice reflection! You provided a lot of details. Try to elaborate more on your takeaways from this experience.
69,Very well structured post. Your portfolio is coming along well.
70,Very well structured post. Your portfolio is coming along well!
71,Very well structured post. It's always good to help others when you can. Your portfolio is coming along well!
72,Great job but please elaborate a little more.
73,Excellent. You provided a lot of detail and I found your post to be interesting. We are!
74,Excellent. Your provided a lot of detail and I found your experience quite interesting.
75,Great job try to elaborate more. Seems like a nice cultural experience!
76,Exploring and traveling will continue to teach you a lot about yourself as well as others. Don't stop exploring. Don't stop learning.
77,Making connections like this one are so important in the industry. By taking the initiative to apply for this position you have set yourself ahead of others who may have looked at the qualifications and not applied. You now have your 'foot in the door' by having networked and made a contact at the company. Keep taking the initiative and it will pay off!
78,What a unique experience in order to develop your problem solving and adaptability skills! This experience shows your leadership ability as well as taking initiative to make things happen.
79,Sometimes what seems like the scariest experiences can lead to the most rewarding ones! Being able to adapt to new situations is important and it sounds like you were able to make the most of your situation learn and grow!
80,What a unique experience to learn how to problem solve and be adaptable. This is a great example of showing how you work well with others especially under pressure!
81,Being able to 'see things from the other person's perspective' will help you go far in life - it also shows you are able to see more than one side/view to a situation.
82,Congratulations Kurt if you get a chance let us know how the launch goes.  What is the biggest challenge and how did you solve it?
83,Monica - it's great that you were able to recognize the importance of learning the strengths/skills of your teammates. In both the collegiate and (especially) the professional world it's essential that you are able to quickly and effectively identify the strengths/weaknesses with those you are working with - whether they be your employees peers or senior to you. Another key is to be able to leverage those insights into making good decisions about team structure communications
84,Jordan - time constraints are never fun! You get plenty of practice with individual time management in college but it was nice to see you being in a situation where you all were dependent on each other and had to use your communication and leadership skills to ensure you stayed on track. This is very representative of the working world where you almost always are depending on work from other to complete your tasks or someone is depending on you. Clear communication is crucial.
85,"Manuel - good insight about being assertive and owning the interview. You definitely want to be an active participant. Also remember that an interview is just as much about finding out whether the company is a good fit for YOU as it is them finding out if you'll be a good fit for that company. Be prepared do your """"homework"""" on the company and have meaningful intelligent questions that make your interviewer think. Doing so can help show how well you think"
86,This is a good story but doesn't seem to match the Community Service heading that I clicked on. So under the Community Service tab maybe you can use a different example that shows some community service you participated in.
87,I am happy that you now include travelling in your set of interests. Visiting new places and being curious about new cultures and people is an excellent asset for working in the hospitality field. Plus you can use your own travel experiences as a topic of conversation so as to better connect with guests and as an ice breaker in social situations to ask about the travel experiences of others. Travel on!!!
88,Keep up the good work with children as you volunteer for things in the future. You will always learn something just as you did in the story above.
89,Hi Monica! Your resume is looking good. May I recommend elaborating more on the skills you acquired during your internship? Tell me more about how you clarified internal medicine procedures. Describe your role in the treatment reviews. You may consider writing a story on your board about the internship and what skills you acquired to help organizations understand your skills sets more.
90,Hi Jordan you have a great GPA and have identified some good skills.  Companies would value seeing your resume if you post too.
91,Hi Nina your resume highlights a lot of exposure and skills from your internship - great job at sharing these details and keep up the great work with the dean's list! A recommendation for your resume is to capture any additional interests activities clubs or additional languages you speak.
92,Hi Manuel great job highlighting some of your key skills organization and interests. Consider adding your resume - companies would be interested in accessing your resume through this page.
93,We’re thrilled to see students like you taking initiative to improve engagement in your community. Check out this article that offers new ideas for improving engagement (http://www.example.com/article). We’ll stay in touch!
94,Grant - Good reflection. As you continue group work throughout the rest of your time at Penn State and in other endeavors consider the positives and negatives of strictly defined roles and goals. Can you think of an experience you have had where you were unable to step out of a defined role that limited you from experiences? Have you ever worked in a group that set goals that were too feasible to start with thereby limiting the groups potential?
95,Natalie - Great observations and connections with the activity and plans for SHO Time moving forward. You mentioned that you believe that trust is the most important skill when it comes to making a team effective. How do you feel trust is built effectively within a team? How does the trust you have among a team you work with for a project differ from the trust you have in your friends? Is there a certain level of trust that needs to be reached within a group? If so how is that level determined ;1;
96,Joe - Great job referencing your experiences in your first-year CAS class. You mentioned the organizational meeting your team had towards the end of the project in order to iron out key details that needed to be addressed in order to make progress. How do you create the same kind of pressure artificially 5 weeks before a project is due? What role does getting to know the people with whom you are working serve in that meeting? Would assigning roles too early be detrimental to the creativity of th
97,Sneha - Nice job referencing your experience in Engineering Design 100H. You mentioned how you were able get to know and understand the individuals within the group you worked with more over the course over the semester. However the main portion of SHO Time is much more condensed. How would you approach misunderstandings or conflicts between your mentees? How will you allow them the chance to get to learn more about one another.
98,Marisa - Thank you for sharing your previous experiences of working in groups. In SHO Time plenty of the work is delegated for the mentors. However there are certainly opportunities to go beyond what is asked of you. How will you balance your contributions to SHO Time while ensuring that you are allotting the appropriate amount of time to your group and to yourself?
99,Alex - Nice job focusing on our discussion of the unexpected issues arising during the course of SHO Time such as a student being unable to attend certain events. You mention that even if a scholar is unable to attend events SHO Time is important in that it helps foster inter-student relationships through substantial conversation. How would you ensure that for a student who for one reason or another is unable to attend certain events?
100,Alex - Nice job focusing on our discussion of the unexpected issues arising during the course of SHO Time such as a student being unable to attend certain events. You mention that even if a scholar is unable to attend events SHO Time is important in that it helps foster inter-student relationships through substantial conversation. How would you ensure that a student who for one reason or another is unable to attend certain events is still able to get the most out of SHO Time?
101,"Good reflection Alex! SHO Time features a lot of different events that different types of students tend to be more comfortable with. What will you do to make sure that all students gain the most of each event for their own personal growth? To what degree is it necessary to alter the """"plan"""" to aid certain students and to what degree is it necessary to try to push students outside their comfort zones?"
102,Thank you for participating so much in our group discussion. Your fresh comical insights kept our committee's time on Old Main Lawn fun and lively. Remember these observed interactions when SHO Time arrives this fall as many freshman will be nervous trying to impress others and gauge others investment levels in newfound relationships!
103,Thank you for sharing your Personal Mission Statement Tessa. It is clear that you are very motivated to have an impact on others and to give yourself the opportunity to grow and learn new things. As we move towards SHO Time consider what you will do to create an environment that lends itself for other students to be open about their goals and share their aspirations for their time at Penn State?
104,Natalie this was a very well-written post. I can see that you thought deeply on the topic of teamwork and its connections to SHO TIME. The few days of SHO TIME will be extremely busy and can definitely be stressful. Having strong teamwork prior to and during those days will be crucial to both the success of the events and to the enjoyment of the incoming students. I completely agree with you about trust. It really is an indispensable skill in any work setting or other life event.
105,Alex I really enjoyed how you provided a specific example where maintaining the relationship is key: when a mentee isn't able to make an event. It's very likely that can happen. Like you said SHO TIME is meant to foster the relationships among the incoming students. Having that dialogue with a student who may be unable to attend an event is crucial to developing the mentor-mentee relationship. We should all be aware of keeping such connections as they can really improve any students' time.
106,Alex I completely agree with your post. There are times when a student may not feel included in the activities for many reasons. You make a strong point: that being a Schreyer Scholar implies that you have what it takes to improve other lives. We all have what it takes. If for example an incoming student does seem to be shy I suggest we try and nudge them a little bit. We shouldn't push them too far out of their comfort zones
107,Joe I really enjoyed reading the specific experience you had with group interactions and teamwork. I could not agree more on the stress you place on effective communication and early defining of roles within groups. Having such in place won't be all that is necessary to succeed but they will surely set any group on the right foot. That's why we have so many meetings throughout the semester planning out the details for SHO TIME and making sure everyone is updated on each others' roles.
108,Joe I really enjoyed reading your observations on the HUB Lawn. We sure did see a lot of activities going on around us during our discussion. I recall you telling us about your experience with the CHEM 457 project. You mentioned how it was hard to get the project started due to the other members all being seniors with jobs already. I can definitely understand the struggle there. During SHO TIME I feel that we should all be mindful of getting planning done early to reduce any possible stress.
109,"Marisa it was a pleasure reading your previous experiences and how you learned from them. I can closely relate to how you felt when you were younger. Being a leader does not mean that you're constantly """"nice"""" to everyone. Sometimes like you said it is necessary to get your point across and be a bit more harsh. In SHO TIME most of the work should be delegated nicely but if it's necessary to do so"
110,Marissa that's a great observation! I really enjoyed how you structured your post and could not agree more with the common denominator you mentioned. People interacted with each other positively because they felt comfortable where they were. In SHO TIME as leaders we should all strive to do just that. Make sure everyone is comfortable wherever they are during the orientation. It'll be just like a HUB Lawn.
111,Grant great job relating key ideas with each other. Problem solving and teamwork revolves around every single moment of our lives and really is a crucial skill to possess anywhere. I like how related it to a personal experience - your research lab. During SHO TIME communication problem solving teamwork
112,Sneha I really enjoyed how you referenced your Engineering Design 100H course. I'm sure it must have been difficult for you and your team members to function together at such a different part of your lives - college. We should keep in mind that the incoming students for SHO TIME will be experiencing the exact same thing. They are all transitioning to a different stage of their lives and may be overridden with emotions. That and like you said being honest with others will help a great deal.
113,Tessa I really enjoyed reading about your passions and thoughts. I definitely agree with all your points on how creativity relationships learning and experiences are all critical components in life. All of those will help ensure we keep growing as people and evolve to adapt to certain situations. It's very similar to SHO TIME. During the few days of orientation
114,I'm so glad that you enjoyed our day Marisa!  It's really funny to see that as unique as we all are our status as Penn State students does give us that shared enjoyment of some pretty classic Penn State attractions.  I'll be interested to see how the group develops throughtout the summer and if the people you pegged as leaders and supporters early on stick to that role - I personally think you're all great leaders!
115,Ceci your post is making me miss State College more than I already do!  I definitely agree that with more time we could have made our day even more perfect.  I personally think it would be awesome if our group could get together another time and do some of those other things you mentioned (especially the Pokey Sticks!) but you're right- what you do isn't as important as who you do it with!
116,"I think it's so nice that you took the extra time to appreciate one more perfect aspect of the day: your perfect milkshake!  It really is those little things that can turn a good day into a perfect day and I don't think people stop to recognize those things as often as they should.  And like you said the weather is another one of those """"little things""""... I could definitely go for a beautiful day on Old Main lawn right now!"
117,I also finished my first visit to Penn State with a trip to the Creamery!  It really is incredible to think that it's been 3 years since that first visit and that this once strange place is now as familiar to me as my own hometown.  Funny that something as simple as ice cream can serve as a reminder of change hard work and the excitement and fulfillment that comes with growing up!
118,What an action packed day Jamie!  I think the inclusion of a Penn State sporting event is a really awesome choice because those events tend to exemplify some of Penn State's most central values like hard work perseverance and community.  Plus
119,You're definitely right Danielle that our perfect day was probably the break everyone was needing right before finals week.  I know that for me it's really important to take a step back from the stress of school and remind myself that there's more to life than work.  Thankfully
120,I think it's interesting that you repeatedly mention bonding as a team throughout your reflection.  While it's true that we went out of our way to visit some classic Penn State landmarks I think you're right that what's more important is that it gave us the opportunity to get to know everyone a little better.  I hope that everyone feels like our Perfect Day made us a stronger team that is ready to take on SHO TIME 2016!
121,Casey I think this mission statement is a great way to look at things. Focusing on developing skills outside the classroom is a very important part of college and it's important not to lose sight of that. A lot of fields look at the different experiences someone has when considering them for an internship and the like. I do want to warn you though that focusing solely on grades is a slippery slope. Focus on improving yourself and the good grades will come.
122,It's funny that something as simple as getting ice cream can be an opportunity for reflection (and that it can turn strangers into friends!).  As you mentioned the personalities of our group seem to blend well together which I think makes us an even stronger team.  Here's to hoping all of our decisions go so smoothly (and include more ice cream) once August comes!
123,I think one of the most important parts of this is the fact that you've figured out how to apply this mission statement to more than just your career or some form of professional development. One of the best ways to develop these sorts of mentalities like you're talking about is to live it (no pun intended). Sometimes the best way to make a difference is to just lend a hand and I can see that you're already great at that.
124,Spencer I really like your mission statement's overt goal to inspire and motivate others. I feel like that alone is something that we're looking for and hoping for in a SHOTIME mentor. I would like to see in one of these reflections a discussion on how you specifically are improving yourself. Have you been getting that coveted 4.0? Or are you just doing a little extra each day. Either one is commendable for its own reasons and I can't wait to see what you do.
125,Kokila I find it great that you're working on finding balance between our two goals of improving yourself and improving the world. I think these two goals tend to go hand in hand but being able to separate them and work individually is admirable. I think the idea of soul searching to find yourself is an important one to have and it's definitely one that should be shared with the SHOTIME students.
126,A cool part about your mission statement is that you want to keep for those who don't have the same experiences as you what others did for you. It's definitely the kind of skill set that we need in SHOTIME and maybe it's the sort of thing that we need in life. I'm sure the students who are under you will appreciate the guidance that you can offer.
127,It's great that you mention developing closer personal relationships. Many people forget how important that is to personal health. It's also an important skill in these pivotal years of school. Those sorts of relationships are exactly the type of thing that is important for SHOTIME mentors as we want to make sure the mentors and the students have a great relationship that they can rely on for the rest of their time at Penn State.
128,I think an important part of this is your focus on integrity and passion. I'm sure there's a fortune cookie somewhere that says if you combine those two anything can be done. but it's true. That's the type of determination that that can make dreams come true. I also like that you keep your goals open. You might not be 100% on what they are but you know you'll strive very hard at them.
129,Hey Akshil I really like this mission statement because you focus on not only your academic and professional developments but also your personal life. It's sometimes difficult to think about your personal life in your surely busy professional life but it will always be important to think about your family and friends.
130,Emily I really like that you're always trying to challenge yourself by filling your life with different activities. Learning to better yourself and also being aware of your accomplishments is very important. Keep doing what you're doing and I'm sure you'll go far in life!
131,"Gabby I really like your motivation in writing this personal mission statement. The fact that you are telling yourself that you """"will"""" succeed in accomplishing your goals is a sure sign that you are very passionate about your goals and accomplishments. I wish you the best in doing everything you can at Penn State and in the future!"
132,Kokila you're totally right that creating a mission statement is hard! I really like what you have set as your mission statement because it seems to encompass everything there is from personal to professional life. I personally think it's really important that you have a balance between your personal and professional lives and it's great that you are also trying to strike that balance.
133,Hey Raza I think it's really great that you look to your peers and other people. Using your mentors around you correctly is a very good skill to have and learning from these people will make sure that you similarly succeed!
134,Nicole it's really great that you want to help people overseas and it's even better that you're passionate about it! One of the most important things in life is to find something that you are truly passionate about because that way you can live your life in a way that's both meaningful to you and useful for the rest of society. Best wishes to your dreams of working in a global environment!
135,Spencer I really like your mission statement because it shows your own efforts in welcoming diversity in your life both ideologically and practically. Many people are not as open minded as you are so it's great to see someone making such an effort to improve themselves!
136,Madisyn I really like how you are putting a global perspective into your mission statement. Something like a mission trip can really change how we see the world and I can see that you definitely used your mission trip to South Africa as a source of your motivation!
137,Mike we all have something to bring to the table and it's great that you're recognizing your own skills to bring and using them to help the world as much as you can. Someone like you with the willingness to help people are important in society to help the world grow stronger!
138,Alex your mission statement is so simple and powerful. I definitely do agree about how people will try to avoid showing their passions and these people will find it hard to make it far in life simply because you need to be passionate about what you're doing to succeed in it. I wish you the best in pursuing your passions!
139,David I definitely agree with you that you should always lead by example and it's really great that you want to be that example for people to follow. Your mission statement shows that you're very motivated to improve yourself and I think that's a really good quality!
140,Kavya your focus on hard work on dedication shows me that you are a truly motivated individual. I'm glad that you are doing something that you are truly passionate about because a lot of people don't have that figured out yet.
141,It's so awesome to hear that you were able to go to a school that means so much to you and your family.  I often find myself feeling a little jealous of those students who come from a Penn State family because I think it really brings people closer when they are able to share that sense of community.  It can be a little tough to try to make outsiders understand how special some of the things that go on here are so I'm glad that you have people close to you who can appreciate it all with you!
142,"Great insight on the similarities and agreements of each mentor's """"perfect day!"""" The constancy made for a natural and enjoyable bonding experience. The planning stage might have been slightly more difficult had disagreements occurred but I'm sure the excellent leaders of the group would have found a compromise regardless."
143,Building relationships is most definitely important! I like how you mentioned the simple respect and kindness. Getting to know new people doesn't need to be a complicated experience. In fact even if you know nothing about a person simply starting with respect and kindness is the best way to get off on the right foot and build a strong network.
144,Great comment on the necessity to occasionally escape from the stress in the life of a student! Sometimes you just need to step back and enjoy the company of the people around you. Breaks from studying can actually improve your learning and improve your overall studying efficiency!
145,Sounds like an enjoyable day! It's easy to find common ground and make new friends with such classic Penn State activities. I'm sure you're able to reflect on the lessons you learned and the sense of community that you built on this perfect day.
146,Susan I really liked all of your selections and the insight that you put into each one of them. I especially liked the painting about the rocks: it can be hard to stand out but being confident yourself and not being afraid to be unique is crucial to developing yourself. Great job!
147,"Cara I really like the """"Modern Limits"""" painting and I think it perfectly captures the experience that a lot of us had when we first transitioned to Penn State. Being able to break down this large and complex experience into smaller parts is the only way we can manage it and I think it's great that you were able to recognize that and find a painting that matched that idea."
148,I love seeing both sides of this story(I read Sumit's earlier). I'm sure those communication skills will come in handy come SHO TIME! I'm excited for the Brain Show because I'm sure that the whip and nae-nae will make an appearance. Great work! Keep up the good posts!
149,I'm glad that you bonded a bit with your fellow mentors! A strong mentor network is imperative to the success of SHO TIME. I actually could use some snapchat tricks because I still have some of those hidden trophies left to get and I can't figure out how to achieve them. The dancing sounds interesting too! I definitely want to see it in the fall!
150,Teamwork makes the dream work! We can learn much from others especially those with knowledge and experience. SHO Time mentors should be like the veteran male cheerleaders you saw on Old Main teaching and showing the incoming freshman how to succeed at Penn State and beyond.
151,"I've been reading a lot of these mission statements and I'm glad that yours includes """"resilience."""" An important part of self development and discovering who you are is to work hard and be good regardless of what is happening in your life and it's great that you recognize that."
152,I notice that a lot of your mission statement overlaps with the ideals of the SHC which I think is fantastic. Either you had these ideals before and you found the best place possible to develop them or you have been inspired enough by them that you've taken them on yourself. If the latter is true then you'll be great at instilling those values to new students.
153,Passion is arguably the most important part of any mission statement. Regardless of the goals of integrity and of global perspective without passion there is no development made out of the  mission statement. I'm happy that you've identified that in your life as well.
154,"I like that your mission statement doesn't work in generics like """"I will develop."""" You've set goals (such as being challenged) and obviously by being a SHOTIME mentor you're working toward those challenges. I can't wait to see what these develop into."
155,I think the best part of this is that you're clearly doing your best now to make the world a better place. Obviously what you're studying can be developed into something incredible useful. But what's most important is that you live this mission statement in your day to day life with your interactions with friends and family.
156,I envy your ability to appreciate art! I unfortunately have trouble relating to artwork in the same way.  But we need people like you to continue the appreciation of art especially considering the emphasis on STEM fields and the subsequent pull away from the humanities. I noticed you are a chemical engineering major however and it seems like you have the perfect balance! Keep doing what you're doing.
157,"I really enjoyed the second painting you chose. I laughed a bit to myself because I've felt like that horse on more than one occasion. I feel like every day I find a challenge that I don't want to face - whether big or small. I watched a TED talk once (I can't remember what it was called) and something the woman said really stuck out to me: """"If you wait until you want to do something you're never going to do it."""" I try to remind myself that I have to create my own motivation."
158,Riley well done in your work to manage such a group.  You have an insight into what the moderators for the presidential debates are going through albeit they have 2 participants  compared to your 17. One huge skill you built through this was facilitation.  The ability to manage align and progress with a large group is something of value to any future endeavor.  Kudos and check out this link from Brown University for more thoughts on facilitation: http://bit.ly/1QkLIkd
